lots,discovery_q95_total_cost_reserve,reserve_per_lot
1,390.70693798727956,390.70693798727956
2,612.4120270887689,306.20601354438446
3,841.6308788395669,280.54362627985563
4,1079.7635095386486,269.94087738466214
5,1326.4136582412866,265.2827316482573
6,1581.2903686756513,263.5483947792752
7,1844.1769525650282,263.4538503664326
8,2114.463589658114,264.30794870726425
9,2392.2696941464837,265.80774379405375
10,2677.5830076174207,267.7583007617421
11,2970.314445157533,270.0285859234121
12,3270.3876266381444,272.53230221984535
13,3577.7361313994425,275.21047164611093
14,3892.3015138203323,278.0215367014523
15,4214.0318297495805,280.9354553166387
16,4542.88051687899,283.9300323049369
17,4878.805527073668,286.9885604160981
18,5221.768642326872,290.0982579070485
19,5571.734927317638,293.2492067009283
20,5928.672285445772,296.4336142722886
21,6292.551094518839,299.6452902151828
22,6663.343904634934,302.879268392497
23,7041.025185258153,306.1315297938327
24,7425.571111655335,309.3987963189723
25,7816.959383159852,312.6783753263941
26,8215.169067417512,315.9680410545197
27,8620.180466029147,319.26594318626474
28,9031.974997955662,322.57053564127364
29,9450.53509777777,325.8805206130266
30,9875.844126463835,329.19480421546115
31,10307.886292736557,332.51246105601797
32,10746.646583473792,335.832705733556
33,11192.110701851818,339.1548697530854
34,11644.265012158266,342.47838271053723
35,12103.096490377928,345.8027568679408
36,12568.59267979787,349.1275744388297
37,13040.741650994954,352.4524770539177
38,13519.531965664979,355.77715699118363
39,14004.95264383203,359.1013498418469
40,14496.993134042476,362.4248283510619
41,14995.643286203362,365.74739722447225
42,15500.893326770967,369.06888873264205
43,16012.733836034526,372.3891589775471
44,16531.15572727298,375.7080847107496
45,17056.15022759082,379.02556061312936
46,17587.708860263072,382.3414969622407
47,18125.823428439973,385.65581762638243
48,18670.486000079647,388.96845833499265
49,19221.68889399234,392.27936518351714
50,19779.42466689291,395.5884933378582
51,20343.68610136992,398.8958059092141
52,20914.466194689456,402.20127297479723
53,21491.758148360772,405.50487072378814
54,22075.555358398295,408.8065807110795
55,22665.851406221456,412.10638920402647
56,23262.640050139547,415.40428660963477
57,23865.915217374168,418.70026697147665
58,24475.6709965764,421.9943275271793
59,25091.901630799937,425.286468318643
60,25714.60151089509,428.57669184825147
61,26343.765169291746,431.86500277527455
62,26979.38727414244,435.1514076474587
63,27621.462623799005,438.4359146634763
64,28269.986141598907,441.7185334624829
65,28924.95287093921,444.9992749375263
66,29586.35797061813,448.27815106997167
67,30254.196710425746,451.55517478247384
68,30928.464466966994,454.83035980833813
69,31609.156719701477,458.1037205753837
70,32296.269047185826,461.37527210265466
71,32989.79712350544,464.64502990852736
72,33689.736714883555,467.91300992893827
73,34396.08367645649,471.1792284446094
74,35108.833949204614,474.44370201627856
75,35827.98355702975,477.7064474270633
76,36553.528603969855,480.9674816311823
77,37285.46527154301,484.2268217083508
78,38023.78981621304,487.4844848232441
79,38768.49856696962,490.7404881894888
80,39519.58792301652,493.99484903770656
81,40277.05435156151,497.2475845871792
82,41040.894385702595,500.4987120207634
83,41811.104622405044,503.7482484627114
84,42587.681720564295,506.99621095909873
85,43370.62239915019,510.24261646059045
86,44159.923435428034,513.4874818073027
87,44955.58166325266,516.7308237155478
88,45757.59397143147,519.9726587662667
89,46565.957302153074,523.2130033949784
90,47380.668649478066,526.4518738830897
91,48201.72505788893,529.6892863504278
92,49029.12362089602,532.9252567488697
93,49862.86147969695,536.1598008569564
94,50702.93582188667,539.3929342753901
95,51549.34388021595,542.6246724233258
96,52402.08293139589,545.8550305353739
97,53261.15029494613,549.0840236592385
98,54126.54333208505,552.311666653929
99,54998.25944465973,555.537974188482
100,55876.29607411397,558.7629607411396
