policy,split,eligible_signals,executed_trades,skipped_trades,initial_capital,final_equity,net_profit,total_return,cagr,annualized_volatility,sharpe_zero_rate,sortino_zero_rate,calmar,gross_pnl,total_cost,charges,brokerage,stt,stamp_duty,exchange_charges,sebi_charges,ipft,gst,slippage,base_slippage,ladder_impact,volume_impact,oi_impact,impact,turnover,turnover_on_initial_capital,cost_to_gross_abs,win_rate,profit_factor,average_net_trade,median_net_trade,best_trade,worst_trade,p05_trade,cvar05_trade,maximum_losing_streak,max_drawdown_rupees,max_drawdown_pct,max_drawdown_business_days,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_date,active_months,positive_months,positive_month_rate,average_month_pnl,average_month_return_on_initial_capital,best_month,best_month_pnl,worst_month,worst_month_pnl,average_lots,maximum_lots,average_span_margin,maximum_span_margin,average_margin_utilization,maximum_margin_utilization,average_max_loss_utilization,maximum_max_loss_utilization
fixed_balanced,full_sample,132,132,0.0,1000000.0,1007696.0780776172,7696.078077617218,0.0076960780776171855,0.0014618033822333398,0.010871260041644671,0.17371063755716462,0.09802131800926711,0.06393581103303161,101277.24999999999,93581.17192238275,38682.18113525322,21120.0,6453.559723065689,251.04322443702108,5878.94689575297,16.782606039831478,83.91303019915743,4877.9356557585525,54898.990787129536,46886.517138947704,5274.086562209598,2255.975155667839,482.4119303043939,8012.473648181832,16782606.039831482,16.78260603983148,0.9240098040022094,0.5378787878787878,1.0664464185837377,58.3036218001306,221.1489166766155,6803.012477204992,-6951.712230041248,-3282.628707891511,-4153.5065491684345,7.0,-23143.847606945317,-0.02286360896365447,556.0,2022-02-10,2022-08-10,2024-04-10,57.0,27.0,0.47368421052631576,135.01891364240777,0.00013501891364240776,2023-12,5961.793421165867,2022-03,-8524.921779989207,5.234848484848484,16.0,279168.94072653714,499983.46030788,0.27811708950203196,0.4995713838288744,0.015982156545162482,0.0199968578317255
fixed_balanced,discovery_2021_2023,72,72,,,,10108.92620139047,,,,,,,60103.74999999997,49994.823798609505,,,,,,,,,,,,,,,7672244.826580589,,,0.5833333333333334,,140.40175279708987,,,,,,,,,,,,,,,,,,,,,,5.097222222222222,,,,,,,
fixed_balanced,validation_2024,18,18,,,,-6330.080350434906,,,,,,,9593.750000000007,15923.83035043491,,,,,,,,,,,,,,,3510684.5069627035,,,0.3333333333333333,,-351.671130579717,,,,,,,,,,,,,,,,,,,,,,9.38888888888889,,,,,,,
fixed_balanced,confirmation_2025_2026,42,42,,,,3917.232226661671,,,,,,,31579.75000000002,27662.517773338346,,,,,,,,,,,,,,,5599676.706288192,,,0.5476190476190477,,93.26743396813502,,,,,,,,,,,,,,,,,,,,,,3.6904761904761907,,,,,,,
fixed_balanced,holdout_2024_2026,60,60,,,,-2412.8481237732344,,,,,,,41173.500000000015,43586.348123773256,,,,,,,,,,,,,,,9110361.213250894,,,0.48333333333333334,,-40.21413539622058,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,
gate_cushion_only,full_sample,132,107,25.0,1000000.0,1018474.1759341322,18474.17593413219,0.018474175934132253,0.0034938937959949623,0.008031411598527804,0.45042274216587047,0.21930015225917104,0.44316641109964244,63392.99999999999,44918.8240658678,25626.64561946282,17120.0,2616.064008716759,96.125990863393,2260.3151116344043,6.45251245114018,32.26256225570091,3495.425433541424,19292.178446404978,17470.868973422796,1218.273897227996,488.26158102569326,114.7739947284909,1821.3094729821798,6452512.451140179,6.452512451140179,0.7085770363583961,0.514018691588785,1.3077176280473535,172.65584985170267,65.33310804893193,6803.012477204992,-4385.210262899793,-2661.8959211592355,-3319.5631679092917,8.0,-8058.96423541999,-0.007883931878603923,255.0,2024-04-10,2025-02-13,2025-05-08,56.0,29.0,0.5178571428571429,329.89599882378917,0.00032989599882378917,2023-12,5961.793421165867,2024-05,-4385.210262899793,3.196261682242991,15.0,166250.75194723855,490953.69864378276,0.16404310119756915,0.48236000176236915,0.010690229928698156,0.01993757132879759
gate_cushion_only,discovery_2021_2023,72,56,,,,17147.56440032625,,,,,,,37289.999999999985,20142.43559967374,,,,,,,,,,,,,,,2136868.0701415758,,,0.6071428571428571,,306.20650714868304,,,,,,,,,,,,,,,,,,,,,,2.8035714285714284,,,,,,,
gate_cushion_only,validation_2024,18,15,,,,1609.3407444979748,,,,,,,10544.999999999998,8935.659255502023,,,,,,,,,,,,,,,1740249.431043228,,,0.4,,107.28938296653165,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,
gate_cushion_only,confirmation_2025_2026,42,36,,,,-282.7292106920391,,,,,,,15558.0,15840.729210692038,,,,,,,,,,,,,,,2575394.9499553763,,,0.4166666666666667,,-7.853589185889975,,,,,,,,,,,,,,,,,,,,,,2.138888888888889,,,,,,,
gate_cushion_only,holdout_2024_2026,60,51,,,,1326.6115338059353,,,,,,,26103.0,24776.388466194065,,,,,,,,,,,,,,,4315644.380998603,,,0.4117647058823529,,26.011990858939907,,,,,,,,,,,,,,,,,,,,,,3.627450980392157,,,,,,,
regime_composite,full_sample,132,109,23.0,1000000.0,1023851.3486368775,23851.34863687749,0.023851348636877434,0.004501198230653314,0.007525945132765745,0.592165185105079,0.2977876906489572,0.5615222477141366,68890.25,45038.90136312248,26321.204324280687,17440.0,2882.0449220372207,97.7941467337929,2301.399242223604,6.569795153364558,32.8489757668228,3560.547242365883,18717.697038841787,16843.69766803649,1312.6797051107303,453.681469326179,107.63819636838275,1873.9993708052916,6569795.153364557,6.569795153364557,0.6537775862785007,0.5596330275229358,1.442938322348607,218.81971226493147,103.8734116441832,6803.012477204992,-3522.936198868706,-2428.8559457897077,-3082.943071162444,6.0,-8241.522367474623,-0.008016063920845418,554.0,2024-04-10,2025-02-13,,56.0,29.0,0.5178571428571429,425.91693994424156,0.00042591693994424156,2023-12,5212.145013179623,2024-05,-3247.0605010318473,3.165137614678899,15.0,166342.77453223045,511259.5950489417,0.16332717253540213,0.49767950828564367,0.010648807441923886,0.019716210764932237
regime_composite,discovery_2021_2023,72,57,,,,22401.931451846798,,,,,,,40223.74999999999,17821.818548153195,,,,,,,,,,,,,,,1601075.2126529366,,,0.6666666666666666,,393.01634126047014,,,,,,,,,,,,,,,,,,,,,,2.5964912280701755,,,,,,,
regime_composite,validation_2024,18,16,,,,2097.0946738949656,,,,,,,11846.25,9749.155326105032,,,,,,,,,,,,,,,1959059.2595716412,,,0.375,,131.06841711843535,,,,,,,,,,,,,,,,,,,,,,6.9375,,,,,,,
regime_composite,confirmation_2025_2026,42,36,,,,-647.6774888642387,,,,,,,16820.250000000007,17467.927488864247,,,,,,,,,,,,,,,3009660.6811399804,,,0.4722222222222222,,-17.991041357339967,,,,,,,,,,,,,,,,,,,,,,2.388888888888889,,,,,,,
regime_composite,holdout_2024_2026,60,52,,,,1449.4171850307262,,,,,,,28666.500000000007,27217.08281496928,,,,,,,,,,,,,,,4968719.940711621,,,0.4423076923076923,,27.873407404437042,,,,,,,,,,,,,,,,,,,,,,3.7884615384615383,,,,,,,
