score_type,split,trades,rho_one_lot_net_pnl,rho_net_bootstrap_ci_low,rho_net_bootstrap_ci_high,net_permutation_p_one_sided,rho_one_lot_gross_pnl,rho_one_lot_net_risk_return
gate_cushion_only,discovery_2021_2023,72,0.26506527750980774,0.0060068495247697215,0.5135769680949285,0.011398860113988602,0.23917936844813176,0.40333783523056155
gate_cushion_only,validation_2024,18,0.20361781577782362,-0.26967973879647567,0.6604167024966808,0.2086791320867913,0.19121470009592573,0.48268791862052596
gate_cushion_only,confirmation_2025_2026,42,0.1134419125708783,-0.22637849021341178,0.4544279895821422,0.23927607239276072,0.060778249295842524,0.2689173807295355
gate_cushion_only,holdout_2024_2026,60,0.16464544266696707,-0.09635344946423928,0.41961713018123836,0.1024897510248975,0.0910431717940502,0.338748471160386
gate_cushion_only,full_sample,132,0.22167973643191577,0.0396493942399409,0.39828780250349294,0.0065993400659934,0.17359020391982546,0.3647264475795123
regime_composite,discovery_2021_2023,72,0.3365704639071593,0.09999183466606601,0.5511438961931371,0.0028997100289971,0.28409036099821317,0.4523514752574413
regime_composite,validation_2024,18,0.4273164838609141,-0.07739589913524046,0.8258108781711603,0.041695830416958304,0.34971663812346,0.5297482802343536
regime_composite,confirmation_2025_2026,42,0.10090446035008017,-0.23674629426634622,0.44965087405826704,0.26217378262173785,0.07438053869857196,0.22987398764640454
regime_composite,holdout_2024_2026,60,0.21366707672121593,-0.06604633351808104,0.484328752547624,0.0471952804719528,0.15349326698348673,0.340632702997774
regime_composite,full_sample,132,0.27059998424312953,0.0929113632051878,0.43694044693935924,0.0013998600139986002,0.21555913266331825,0.3871380295304792
