start_date,trough_date,recovery_date,calendar_days_to_trough,calendar_days_to_recovery,maximum_drawdown_rupees,maximum_drawdown_pct,recovered
2023-05-25,2023-05-25,2023-06-22,0,28.0,-7981.72981214535,-0.007558395070293988,True
2021-06-03,2021-06-03,2021-07-29,0,56.0,-7659.835597918136,-0.007620527776195152,True
2024-11-05,2025-02-13,2025-05-08,100,184.0,-7208.779041643953,-0.0066270989389561885,True
2024-05-16,2024-06-10,2024-08-01,25,77.0,-5729.278854957316,-0.005282886246255614,True
2021-12-23,2021-12-23,2022-01-13,0,21.0,-5463.975508981617,-0.005339931310640589,True
2022-04-13,2022-04-28,2022-05-26,15,43.0,-5371.543054530281,-0.005228336937731837,True
2025-09-16,2025-09-16,2026-01-20,0,126.0,-5355.818770829821,-0.004837710590937072,True
2022-05-30,2022-06-16,2022-11-10,17,164.0,-4496.924236995284,-0.004360958747703592,True
2025-07-10,2025-08-28,2025-09-02,49,54.0,-4121.990060709184,-0.003747104062155171,True
2021-10-14,2021-10-14,2021-10-21,0,7.0,-3210.18386664195,-0.003160910221735258,True
2025-05-12,2025-05-19,2025-06-12,7,31.0,-2602.5131869465113,-0.0023670611767725447,True
2026-03-06,2026-05-05,,60,,-2314.536542739952,-0.002085229157797852,False
2024-01-11,2024-01-11,2024-02-15,0,35.0,-2084.812841215171,-0.0019469034371543126,True
2021-09-02,2021-09-02,2021-09-30,0,28.0,-872.2448379911948,-0.0008621091759006827,True
