month,start_equity_rupees,end_equity_rupees,signals,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,worst_drawdown_pct,monthly_return
2021-05,1000000.0,1005158.1495242069,1,5,5662.499999999999,504.3504757930705,5158.149524206929,40230.42924774802,0.0,0.00515814952420679
2021-06,1005158.1495242069,997498.3139262887,1,5,-7106.25,553.5855979181779,-7659.835597918178,49565.78284622738,-0.007620527776195152,-0.007620527776195152
2021-07,997498.3139262887,1006664.0649751701,3,15,10334.999999999998,1169.2489511187018,9165.751048881295,86599.1627972756,-0.007620527776195152,0.009188738387740925
2021-08,1006664.0649751701,1011756.8196393618,1,6,5445.000000000001,352.2453358082605,5092.754664191741,19694.605663074635,0.0,0.005059040887008592
2021-09,1011756.8196393618,1015588.4354348005,2,15,4745.0,913.3842045612994,3831.6157954387,104050.88981565635,-0.0008621091759006827,0.0037870916420452705
2021-10,1015588.4354348005,1015653.6258945325,2,14,1032.4999999999977,967.3095402679343,65.19045973206357,130809.23450912793,-0.003160910221735258,6.418984054712418e-05
2021-11,1015653.6258945325,1023229.5494314509,2,16,8520.000000000002,944.0764630817123,7575.923536918289,125941.49315810205,0.0,0.007459160626976491
2021-12,1023229.5494314509,1020203.7764626939,2,15,-2104.999999999999,920.7729687569328,-3025.7729687569317,115449.53686020938,-0.005339931310640589,-0.0029570813024684117
2022-01,1020203.7764626939,1024134.9980537284,1,8,4380.0,448.778408965595,3931.221591034405,45414.52419319479,-0.0029570813024684117,0.0038533689854245434
2022-02,1024134.9980537284,1027390.3764244728,1,8,3700.0,444.6216292555331,3255.378370744467,44051.32337170547,0.0,0.0031786613844180245
2022-03,1027390.3764244728,1027390.3764244728,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,1027390.3764244728,1022018.8333699425,2,15,-4415.000000000002,956.5430545303388,-5371.543054530341,113635.47354671595,-0.005228336937731837,-0.005228336937731837
2022-05,1022018.8333699425,1029939.2832570097,2,15,9789.999999999996,1869.5501129327272,7920.449887067269,351770.0751834179,-0.005228336937731837,0.007749808152703874
2022-06,1029939.2832570097,1026680.9651120683,1,9,-2519.999999999999,738.3181449413335,-3258.3181449413323,111532.40339123146,-0.004360958747703592,-0.0031636021636513023
2022-07,1026680.9651120683,1028624.0682606878,1,8,2399.999999999999,456.8968513806325,1943.1031486193665,54911.35197970454,-0.004360958747703592,0.0018926065785269675
2022-08,1028624.0682606878,1027398.9697808772,1,7,-454.999999999999,770.0984798105194,-1225.0984798105185,156764.79404057848,-0.003664663107324606,-0.0011910070137499673
2022-09,1027398.9697808772,1027398.9697808772,0,0,0.0,0.0,0.0,0.0,-0.003664663107324606,0.0
2022-10,1027398.9697808772,1027707.6488155663,1,8,859.9999999999994,551.3209653108572,308.6790346891422,77898.36473599325,-0.003664663107324606,0.00030044709384413615
2022-11,1027707.6488155663,1039484.999701797,4,29,13689.999999999993,1912.6491137693858,11777.350886230608,271014.4623063595,-0.004258339187107829,0.011459826050534971
2022-12,1039484.999701797,1047250.1284354313,3,23,9065.000000000004,1299.871266365664,7765.128733634339,153372.79387351492,0.0,0.0074701691086085376
2023-01,1047250.1284354313,1049337.2242039184,1,8,2540.0,452.9042315129281,2087.095768487072,61656.75594720015,0.0,0.0019929295894240973
2023-02,1049337.2242039184,1049337.2242039184,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,1049337.2242039184,1049337.2242039184,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,1049337.2242039184,1053375.5658940373,1,8,4459.999999999999,421.6583098810301,4038.341690118969,40579.49798628838,0.0,0.0038484689163511554
2023-05,1053375.5658940373,1048026.8193460199,2,15,-4517.499999999998,831.2465480174508,-5348.746548017449,83968.94855740815,-0.007558395070293988,-0.005077720350839643
2023-06,1048026.8193460199,1057833.502090694,4,30,11429.999999999998,1623.317255326051,9806.682744673948,155396.25483696867,-0.006071215404732322,0.009357282240919584
2023-07,1057833.502090694,1058951.1100323019,2,14,1925.000000000001,807.3920583920003,1117.6079416080001,112209.69069066181,0.0,0.0010565064723315754
2023-08,1058951.1100323019,1060137.584986517,1,7,1574.999999999999,388.5250457849303,1186.474954215069,36749.44361144958,0.0,0.0011204246758653724
2023-09,1060137.584986517,1060137.584986517,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,1060137.584986517,1060137.584986517,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,1060137.584986517,1060137.584986517,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,1060137.584986517,1070835.2563506975,2,14,11532.5,834.8286358193341,10697.671364180665,101674.09945299491,0.0,0.01009083303495606
2024-01,1070835.2563506975,1068750.4435094823,1,7,-1697.4999999999995,387.3128412152107,-2084.81284121521,32386.44549839864,-0.0019469034371543126,-0.0019469034371543126
2024-02,1068750.4435094823,1071036.9416629658,1,7,2712.5000000000014,426.0018465166678,2286.4981534833337,50216.16677406376,-0.0019469034371543126,0.0021394125891309734
2024-03,1071036.9416629658,1078323.2924667299,1,7,7665.0,378.6491962357151,7286.350803764285,22189.44862753993,0.0,0.006803080753172486
2024-04,1078323.2924667299,1084497.8649725895,1,7,6562.5,387.927494140376,6174.572505859624,33301.79157901853,0.0,0.005726086554000753
2024-05,1084497.8649725895,1080398.4832266432,1,14,-3394.999999999996,704.381745946363,-4099.381745946359,117647.04175787709,-0.00377998138894442,-0.00377998138894442
2024-06,1080398.4832266432,1083868.9730465724,2,24,5096.249999999997,1625.7601800709267,3470.48981992907,369982.0834857196,-0.005282886246255614,0.0032122312959608212
2024-07,1083868.9730465724,1083868.9730465724,0,0,0.0,0.0,0.0,0.0,-0.0005798922674993268,0.0
2024-08,1083868.9730465724,1087772.9619016976,1,13,4322.5,418.5111448748301,3903.9888551251697,53034.095650415205,0.0,0.0036019011081678265
2024-09,1087772.9619016976,1087772.9619016976,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,1087772.9619016976,1087772.9619016976,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,1087772.9619016976,1086841.1535029067,1,11,494.99999999999534,1426.8083987908856,-931.8083987908902,347980.76246124326,-0.0008566202980094806,-0.0008566202980094806
2024-12,1086841.1535029067,1085947.871878154,2,24,470.00000000000466,1363.281624752563,-893.2816247525583,325431.98693579744,-0.001677822567268783,-0.0008219063309053976
2025-01,1085947.871878154,1084811.4043342695,1,4,-255.00000000000043,881.4675438846682,-1136.4675438846689,249946.8414172638,-0.002722587958291056,-0.0010465212680228486
2025-02,1084811.4043342695,1083950.4563347339,2,8,-30.000000000002274,830.9479995355134,-860.9479995355159,117129.48078136041,-0.0066270989389561885,-0.0007936384113365058
2025-03,1083950.4563347339,1087037.4671584626,1,4,3480.0,392.9891762711511,3087.0108237288487,49203.157336907294,-0.00351406561924561,0.0028479261258556043
2025-04,1087037.4671584626,1087037.4671584626,0,0,0.0,0.0,0.0,0.0,-0.0006761472926750667,0.0
2025-05,1087037.4671584626,1099229.194767075,4,14,15101.250000000004,2909.522391387749,12191.727608612255,582141.8560653207,-0.0023670611767725447,0.011215554180006082
2025-06,1099229.194767075,1099759.7999613376,2,8,1350.0000000000002,819.3948057374365,530.6051942625637,125967.19138085266,-0.00021918645455365482,0.00048270660640081786
2025-07,1099759.7999613376,1096260.7002968541,3,12,-2339.999999999998,1159.0996644835159,-3499.099664483514,159854.86892035347,-0.0034418174805884716,-0.003181694461469209
2025-08,1096260.7002968541,1095924.8707511537,2,8,434.99999999999864,770.8295457004123,-335.82954570041375,101839.9491705491,-0.003747104062155171,-0.0003063409512076287
2025-09,1095924.8707511537,1102326.7454864257,4,16,7860.000000000001,1458.1252647279268,6401.874735272076,148204.4222769494,-0.004837710590937072,0.00584152701168672
2025-10,1102326.7454864257,1102330.1393794722,1,4,374.9999999999999,371.6061069534616,3.393893046538267,42858.05578822616,-0.004309518395699374,3.0788448710517002e-06
2025-11,1102330.1393794722,1104412.804158201,1,4,2459.999999999999,377.3352212713016,2082.664778728697,50488.994917716205,-0.004306452819166973,0.0018893294343753642
2025-12,1104412.804158201,1104095.8203272251,2,8,479.99999999999795,796.983830975676,-316.9838309756781,125410.47900976994,-0.0027115793205185756,-0.0002870157153035402
2026-01,1104095.8203272251,1107455.6934045758,1,5,3753.75,393.8769226494585,3359.8730773505413,48469.15241885475,-0.0027115793205185756,0.0030430991726377865
2026-02,1107455.6934045758,1109967.4748382159,1,4,2859.999999999999,348.21856635996846,2511.78143364003,39727.9681232072,0.0,0.0022680649425514954
2026-03,1109967.4748382159,1108163.4386620827,1,4,-260.0,1544.0361761331228,-1804.0361761331228,373594.77185369807,-0.0016253054409509637,-0.0016253054409509637
2026-04,1108163.4386620827,1108039.104025056,1,5,731.2500000000023,855.5846370268056,-124.3346370268033,175936.26334033706,-0.0017373219097622794,-0.00011219882617397037
2026-05,1108039.104025056,1107652.938295476,1,5,81.2500000000013,467.41572958002985,-386.1657295800285,55433.94895626945,-0.002085229157797852,-0.00034851272683178447
2026-06,1107652.938295476,1108983.4825982747,3,15,2730.0000000000027,1399.4556972011133,1330.5443027988895,227209.0606537442,-0.002085229157797852,0.00120122852275939
