dimension,value,policies,median_discovery_net,median_holdout_net,positive_holdout_rate,positive_both_later_rate,median_full_drawdown_pct,median_full_margin_efficiency
score_floor,0.0,1470,16016.370894317071,-144.73025526085598,0.4925170068027211,0.3469387755102041,-0.0100258265382077,0.0008620323764995
score_floor,0.2,1764,21640.194736188238,1376.532297502246,0.5527210884353742,0.4155328798185941,-0.0085391017399987,0.0013179243429653
score_floor,0.4,1158,30189.69543659469,12416.01200639681,0.7642487046632125,0.6649395509499136,-0.0072394570965224,0.0023848625291168
score_power,0.0,1508,30230.127623321678,1337.6532064702385,0.5179045092838196,0.4336870026525199,-0.009924565065955,0.0014459306396894
score_power,0.5,1492,21137.302415106915,2576.314160075912,0.5683646112600537,0.4617962466487935,-0.008892373414625,0.0013836725285637
score_power,1.0,1092,17766.362758427407,1960.5094657687496,0.6089743589743589,0.4432234432234432,-0.0075703842721824,0.0012853227858793
score_power,2.0,300,17820.388223779784,9197.526705763044,0.9666666666666668,0.62,-0.0064283623531091,0.0019167665513765
margin_fraction,0.25,817,21205.000197246973,10397.683876966476,0.7906976744186046,0.6854345165238678,-0.0061479461884766,0.0019711064398655
margin_fraction,0.35,773,21528.36732450701,7689.261433412536,0.7296248382923674,0.5899094437257438,-0.0076448694192753,0.0017286034433378
margin_fraction,0.5,715,20312.2747641089,2868.2863678581343,0.6223776223776224,0.4475524475524475,-0.0084562962541758,0.001472892933531
margin_fraction,0.65,699,20312.2747641089,-83.38287194111399,0.4921316165951359,0.3748211731044349,-0.0092494365300501,0.0012661564104766
margin_fraction,0.8,694,20312.2747641089,-1141.2842970955269,0.4423631123919308,0.3184438040345821,-0.0096892709388237,0.0011787199796214
margin_fraction,1.0,694,20307.149219343177,-2560.5005996644304,0.4005763688760806,0.2795389048991354,-0.0102586745603679,0.0010888763566933
max_risk_fraction,0.01,274,5003.822571116354,-6014.5106942943785,0.0,0.0,-0.0076108706351939,-0.0001972028409922
max_risk_fraction,0.015,610,9875.933228838236,-3451.067313006773,0.1868852459016393,0.121311475409836,-0.0079838406611564,0.000482097435287
max_risk_fraction,0.02,770,14911.000584963174,281.25117661075456,0.509090909090909,0.3298701298701298,-0.0080424059347147,0.0010770858264625
max_risk_fraction,0.025,889,20312.2747641089,6713.046114381846,0.6929133858267716,0.5433070866141733,-0.0080657591341902,0.0016719562928201
max_risk_fraction,0.03,953,25361.58519277532,9197.526705763044,0.7901364113326338,0.5886673662119623,-0.0086011013655129,0.0018291600972972
max_risk_fraction,0.04,896,38155.02127552484,18940.91008030444,0.7912946428571429,0.7154017857142857,-0.009924565065955,0.0021509355916657
drawdown_brake_threshold,0.005,912,18194.66609353532,-1327.719400542958,0.4177631578947368,0.1787280701754386,-0.0083849310096322,0.0012932299155309
drawdown_brake_threshold,0.01,1362,21640.194736188238,3108.2817642241725,0.5609397944199707,0.4816446402349486,-0.0084496126389631,0.0014784235493361
drawdown_brake_threshold,0.015,1408,22864.08656995277,6717.672638994929,0.6683238636363636,0.5603693181818182,-0.0085505918330555,0.0015243858256955
drawdown_brake_threshold,none,710,23202.828012872556,7142.497576949779,0.7014084507042253,0.5704225352112676,-0.0085720663503381,0.0015311978150268
losing_streak_trigger,2.0,1357,21137.302415106915,1413.0914575500792,0.5534266764922623,0.4104642593957258,-0.0086161278956133,0.0013353252675508
losing_streak_trigger,3.0,1435,21640.194736188238,4151.835692763757,0.6369337979094076,0.4655052264808362,-0.0080239241595824,0.001540023782355
losing_streak_trigger,none,1600,20312.2747641089,2642.348077571289,0.574375,0.4925,-0.0087079473635776,0.001479071402486
